question_id,frontend_question_id,question__title,question__title_slug,difficulty,paid_only,is_new_question,total_acs,total_submitted,url
1,1,Two Sum,two-sum,1,False,False,3280709,7173394,https://leetcode.com/problems/two-sum
2,2,Add Two Numbers,add-two-numbers,2,False,False,1529812,4488679,https://leetcode.com/problems/add-two-numbers
3,3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,2,False,False,1697142,5556144,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,3,False,False,737740,2470986,https://leetcode.com/problems/median-of-two-sorted-arrays
5,5,Longest Palindromic Substring,longest-palindromic-substring,2,False,False,1021866,3454156,https://leetcode.com/problems/longest-palindromic-substring
6,6,ZigZag Conversion,zigzag-conversion,2,False,False,485997,1327019,https://leetcode.com/problems/zigzag-conversion
7,7,Reverse Integer,reverse-integer,1,False,False,1205003,4667387,https://leetcode.com/problems/reverse-integer
8,8,String to Integer (atoi),string-to-integer-atoi,2,False,False,604854,3923680,https://leetcode.com/problems/string-to-integer-atoi
9,9,Palindrome Number,palindrome-number,1,False,False,1004914,2065121,https://leetcode.com/problems/palindrome-number
10,10,Regular Expression Matching,regular-expression-matching,3,False,False,458069,1699913,https://leetcode.com/problems/regular-expression-matching
11,11,Container With Most Water,container-with-most-water,2,False,False,717078,1402247,https://leetcode.com/problems/container-with-most-water
12,12,Integer to Roman,integer-to-roman,2,False,False,381787,690240,https://leetcode.com/problems/integer-to-roman
13,13,Roman to Integer,roman-to-integer,1,False,False,754796,1350388,https://leetcode.com/problems/roman-to-integer
14,14,Longest Common Prefix,longest-common-prefix,1,False,False,812391,2284777,https://leetcode.com/problems/longest-common-prefix
15,15,3Sum,3sum,2,False,False,1020869,3775783,https://leetcode.com/problems/3sum
16,16,3Sum Closest,3sum-closest,2,False,False,498381,1082499,https://leetcode.com/problems/3sum-closest
17,17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,2,False,False,653912,1386790,https://leetcode.com/problems/letter-combinations-of-a-phone-number
18,18,4Sum,4sum,2,False,False,349193,1031708,https://leetcode.com/problems/4sum
19,19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,2,False,False,678480,1923727,https://leetcode.com/problems/remove-nth-node-from-end-of-list
20,20,Valid Parentheses,valid-parentheses,1,False,False,1099543,2811969,https://leetcode.com/problems/valid-parentheses
21,21,Merge Two Sorted Lists,merge-two-sorted-lists,1,False,False,1096588,2031760,https://leetcode.com/problems/merge-two-sorted-lists
22,22,Generate Parentheses,generate-parentheses,2,False,False,594204,940212,https://leetcode.com/problems/generate-parentheses
23,23,Merge k Sorted Lists,merge-k-sorted-lists,3,False,False,697127,1715620,https://leetcode.com/problems/merge-k-sorted-lists
